企业代号,quater,进项合计,订单个数,进项负发票个数,供货商个数,销项合计,销项订单个数,销项负发票个数,客户个数,净营业收入,企业名称,信誉评级,是否违约
E1,2017Q3,575624660.3600001,158,14,51,466430747.36,626,27,122,-109193913.00000012,***电器销售有限公司,1,0
E1,2017Q4,695360765.9300001,233,15,80,489973949.5,784,19,154,-205386816.43000007,***电器销售有限公司,1,0
E1,2018Q1,612612355.8399999,215,9,63,487464492.87,707,25,127,-125147862.96999991,***电器销售有限公司,1,0
E1,2018Q2,972933935.3799999,360,1,79,556264400.85,841,22,149,-416669534.52999985,***电器销售有限公司,1,0
E1,2018Q3,568049661.2600001,386,5,109,509058723.0,751,5,139,-58990938.26000011,***电器销售有限公司,1,0
E1,2018Q4,943113445.0499998,326,7,78,455660142.52,761,26,144,-487453302.52999985,***电器销售有限公司,1,0
E1,2019Q1,607614864.77,256,4,66,540426689.47,817,22,133,-67188175.29999995,***电器销售有限公司,1,0
E1,2019Q2,536788655.20000005,276,1,60,421889975.39000005,715,17,143,-114898679.81,***电器销售有限公司,1,0
E1,2019Q3,457127261.81,438,5,77,341872705.36,831,35,172,-115254556.44999999,***电器销售有限公司,1,0
E1,2019Q4,574482325.6799996,506,10,77,346840052.6299998,864,23,198,-227642273.04999977,***电器销售有限公司,1,0
E1,2020Q1,94234097.01,95,0,25,82751561.65,189,7,95,-11482535.36,***电器销售有限公司,1,0
E10,2017Q1,64848.0,9,0,5,93941268.46000001,109,1,9,93876420.46000001,***建筑劳务有限公司,2,0
E10,2017Q2,86178.4,17,0,12,9464052.96,17,0,5,9377874.56,***建筑劳务有限公司,2,0
E10,2017Q3,284088.28,221,0,130,17582933.35,36,0,10,17298845.07,***建筑劳务有限公司,2,0
E10,2017Q4,352750.82999999996,238,0,131,14151950.93,25,0,6,13799200.1,***建筑劳务有限公司,2,0
E10,2018Q1,366662.9800000001,285,5,142,43599979.080000006,68,0,10,43233316.10000001,***建筑劳务有限公司,2,0
E10,2018Q2,605000.4300000002,456,5,146,5499619.199999999,10,0,6,4894618.77,***建筑劳务有限公司,2,0
E10,2018Q3,664689.6599999999,365,2,130,22692492.05,43,1,10,22027802.39,***建筑劳务有限公司,2,0
E10,2018Q4,544871.5899999999,458,8,142,19534831.179999996,27,0,7,18989959.589999996,***建筑劳务有限公司,2,0
E10,2019Q1,691640.6700000003,335,5,139,64341110.160000004,94,0,11,63649469.49,***建筑劳务有限公司,2,0
E10,2019Q2,668917.7499999999,516,5,181,9773414.35,13,0,4,9104496.6,***建筑劳务有限公司,2,0
E10,2019Q3,736918.5599999997,580,2,195,19836100.630000003,31,0,8,19099182.070000004,***建筑劳务有限公司,2,0
E10,2019Q4,351394.49000000005,380,2,183,12099348.309999999,16,0,6,11747953.819999998,***建筑劳务有限公司,2,0
E100,2017Q2,330.0,1,0,1,22277.0,11,4,2,21947.0,***装饰工程有限公司,4,1
E100,2017Q3,130.0,1,0,1,246125.31999999998,27,6,4,245995.31999999998,***装饰工程有限公司,4,1
E100,2017Q4,1019.0,6,0,4,15920.43,3,0,2,14901.43,***装饰工程有限公司,4,1
E100,2018Q1,3206.0,9,0,9,25441.0,2,0,1,22235.0,***装饰工程有限公司,4,1
E100,2018Q2,1110.02,5,0,3,79118.56999999999,8,0,4,78008.54999999999,***装饰工程有限公司,4,1
E100,2018Q4,1465.0,5,0,2,24480.380000000005,10,2,4,23015.380000000005,***装饰工程有限公司,4,1
E100,2019Q1,1793.0,6,0,2,50811.51,13,2,5,49018.51,***装饰工程有限公司,4,1
E100,2019Q2,5818.0,9,0,6,59381.0,7,0,2,53563.0,***装饰工程有限公司,4,1
E100,2019Q3,6310.0,6,0,2,88205.0,7,1,2,81895.0,***装饰工程有限公司,4,1
E100,2019Q4,1282.0,6,0,1,22180.0,3,0,3,20898.0,***装饰工程有限公司,4,1
E100,2020Q1,435.0,2,0,2,18790.0,2,0,1,18355.0,***装饰工程有限公司,4,1
E101,2018Q2,9576.0,3,0,2,181249.99999999997,17,0,1,171673.99999999997,***灯饰工程有限公司,4,1
E101,2018Q4,735.0,3,0,1,111128.0,5,0,1,110393.0,***灯饰工程有限公司,4,1
E101,2019Q2,738.0,3,0,1,100000.0,10,0,1,99262.0,***灯饰工程有限公司,4,1
E102,2017Q1,243593.38999999998,28,0,14,3209.399999999998,6,3,2,-240383.99,***大药房有限责任公司,4,1
E102,2017Q2,310402.0,43,0,18,57644.799999999996,11,0,7,-252757.2,***大药房有限责任公司,4,1
